DATE,ws,wu
2000/01/01,886,503
2000/04/01,887,506
2000/07/01,896,506
2000/10/01,894,506
2001/01/01,916,512
2001/04/01,912,519
2001/07/01,928,522
2001/10/01,927,531
2002/01/01,940,533
2002/04/01,939,532
2002/07/01,941,532
2002/10/01,943,542
2003/01/01,961,549
2003/04/01,969,547
2003/07/01,958,563
2003/10/01,967,556
2004/01/01,996,562
2004/04/01,973,576
2004/07/01,984,574
2004/10/01,996,581
2005/01/01,1013,579
2005/04/01,996,584
2005/07/01,1014,583
2005/10/01,1029,585
2006/01/01,1019,592
2006/04/01,1047,591
2006/07/01,1047,602
2006/10/01,1046,597
2007/01/01,1030,602
2007/04/01,1092,597
2007/07/01,1088,610
2007/10/01,1086,610
2008/01/01,1108,615
2008/04/01,1105,620
2008/07/01,1131,618
2008/10/01,1115,619
2009/01/01,1138,620
2009/04/01,1140,630
2009/07/01,1145,621
2009/10/01,1121,638
2010/01/01,1140,624
2010/04/01,1138,629
2010/07/01,1158,622
2010/10/01,1139,633
2011/01/01,1150,633
2011/04/01,1141,643
2011/07/01,1152,636
2011/10/01,1158,641
2012/01/01,1158,653
2012/04/01,1164,659
2012/07/01,1170,648
2012/10/01,1168,647
2013/01/01,1189,651
2013/04/01,1193,647
2013/07/01,1174,659
2013/10/01,1219,648
2014/01/01,1199,660
2014/04/01,1187,666
2014/07/01,1170,681
2014/10/01,1224,664
2015/01/01,1227,669
2015/04/01,1210,678
2015/07/01,1234,672
2015/10/01,1245,690
2016/01/01,1250,679
2016/04/01,1249,690
2016/07/01,1266,700
2016/10/01,1270,698
2017/01/01,1280,702
2017/04/01,1290,718
2017/07/01,1271,714
2017/10/01,1278,714
2018/01/01,1286,713
2018/04/01,1310,726
2018/07/01,1338,736
2018/10/01,1340,746
2019/01/01,1350,739
2019/04/01,1357,751
2019/07/01,1383,749
2019/10/01,1382,747
2020/01/01,1386,768
2020/04/01,1416,788
2020/07/01,1457,793
