x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61
-109.93472080750026,-109.74766475634192,-109.54140412837957,-109.3185475058772,-109.0818847450292,-108.83408810052882,-108.57751460277562,-108.31411479642054,-108.04542642856092,-107.77262056923884,-107.49656973363534,-107.21791674105833,-106.93713331099937,-106.65456518490684,-106.37046491273809,-106.08501503276305,-105.79834438396948,-105.5105397004611,-105.22165399913202,-104.93171278791327,-104.64071880323384,-104.34865577870855,-104.05548740066116,-103.7611114308173,-103.46543098633244,-103.1683842639575,-102.86983920188084,-102.56966739815233,-102.26776272496889,-101.96405364696324,-101.65840100443195,-101.35069828821285,-101.04085492634711,-100.72881130611783,-100.41446398318045,-100.09774113583936,-99.7785847414825,-99.45696165957084,-99.13281890026107,-98.80612215240255,-98.47685318673729,-98.14501913834243,-97.81062745713058,-97.47369580810974,-97.13427631903677,-96.79245965665359,-96.44838365055226,-96.10220326758264,-95.75416562583767,-95.40461217235328,-95.05404532263964,-94.70307838630714,-94.35259628699119,-94.00381125360087,-93.65839092853825,-93.31848331858166,-92.98684237379037,-92.66682977057307,-92.36231270706857,-92.0773272417155,-91.8156895523317
-109.89534091559365,-109.70915191724619,-109.50373960898827,-109.2817129624354,-109.04586221569997,-108.7988599980738,-108.54306370734835,-108.2804242484724,-108.0124797218591,-107.74040154399584,-107.46506256974865,-107.18710595146041,-106.90700373511619,-106.62510198222527,-106.34165355647949,-106.0568413036648,-105.7707943641704,-105.48359976308319,-105.19530381786987,-104.90591999711404,-104.61543953637081,-104.32383043820953,-104.03104535063578,-103.73705863976141,-103.44173202303996,-103.14496064679514,-102.84664582181787,-102.54669694927559,-102.2450311538926,-101.94149721493578,-101.63599651552177,-101.32843444361103,-101.01875304920864,-100.7068311407818,-100.39259360631499,-100.07597509639216,-99.7569341635141,-99.43541062624412,-99.11135922692601,-98.78475147808712,-98.45557800589805,-98.12383938772061,-97.78953089252212,-97.45268073643834,-97.11334112446877,-96.77162383626823,-96.42762432946276,-96.08151901071035,-95.73355504963443,-95.38409476024592,-95.03359975394477,-94.68270201823738,-94.3322876189224,-93.98358078189679,-93.63823496871169,-93.29838894902667,-92.96680690147114,-92.64685560653723,-92.34240903435442,-92.05747111474885,-91.7958759464653
-109.81118991110823,-109.62656171180787,-109.42273581057486,-109.20230858870505,-108.96805834580017,-108.72264753134534,-108.46842565291058,-108.20733802698798,-107.94091912414447,-107.6703381770081,-107.3964667695985,-107.11994723187306,-106.84125087621555,-106.56072261783261,-106.27860859093184,-105.99508493149811,-105.71027371070977,-105.42425269818446,-105.13706355635449,-104.84871794632166,-104.55920226516083,-104.26848151987473,-103.97650268910903,-103.68321449063389,-103.38857173264323,-103.09241775276617,-102.79465809548377,-102.49519551841435,-102.19393135869193,-101.89080087897973,-101.58567904046897,-101.27845941053923,-100.9690581310469,-100.65739753825177,-100.3434316309875,-100.02706889998794,-99.70825411194024,-99.38694214571663,-99.06310292080917,-98.73671750368851,-98.40775349463999,-98.07620592555531,-97.74208451649817,-97.40543702900814,-97.06630534531232,-96.72476387650137,-96.38093641734555,-96.03500391697705,-95.68723900996042,-95.33795369011219,-94.98761747397056,-94.63687537113229,-94.28663823589939,-93.93810627048474,-93.59290402185829,-93.25319651928442,-92.9217610395046,-92.60197521997927,-92.29764548363514,-92.01281449487145,-91.75132267421796
-109.69622477899169,-109.51342298197228,-109.3115043704901,-109.09304426828156,-108.86079724346057,-108.6174046237447,-108.36519856956424,-108.10611103647307,-107.8416666489591,-107.57302749122906,-107.30105982083735,-107.02640171522107,-106.74951925288082,-106.4707443394944,-106.19031974555986,-105.9084176004487,-105.62515444944621,-105.34060289655105,-105.05480014798091,-104.76775445007208,-104.47945009433364,-104.18985145938909,-103.89890642308686,-103.6065493759861,-103.31275660506526,-103.01740224681433,-102.72036933693447,-102.42156626549479,-102.12090038814657,-101.8182799193477,-101.51363764218208,-101.20687882156096,-100.89790093063684,-100.58663253635312,-100.27300874940404,-99.95697809658942,-99.63849857741009,-99.31751046033423,-98.9939796782202,-98.6678803416059,-98.3392033355142,-98.00795658599799,-97.67413081760955,-97.33775424239462,-96.99887920131891,-96.65760193333897,-96.3140536228708,-95.96839145581812,-95.6208629007346,-95.27180958359706,-94.9217256094446,-94.57124408564634,-94.22123771553609,-93.87291768864553,-93.52792531145995,-93.1884598244409,-92.85724457168891,-92.53763832748143,-92.23347607754661,-91.94883398852578,-91.6875203379534
-109.55658064213746,-109.37581907552209,-109.176015043452,-108.95973679963124,-108.72973031835316,-108.48861066725175,-108.23868668919903,-107.98187152173247,-107.7196751588605,-107.45324848992767,-107.18344914672252,-106.91090837994237,-106.63607879171461,-106.35928520276126,-106.08076585860823,-105.800687651862,-105.51916244214476,-105.236258849818,-104.95201097141931,-104.66642497899939,-104.37948424863187,-104.09115346772644,-103.80138204540096,-103.51010706041333,-103.21727698006558,-102.92284008155956,-102.62664613246173,-102.3286092272195,-102.02864295442453,-101.72666217825548,-101.42258457916948,-101.11635022732729,-100.80787677589356,-100.49708094036622,-100.1839043909928,-99.86829479679542,-99.55020594680641,-99.22961748790436,-98.90648195785167,-98.58077077236696,-98.25246771062821,-97.92156800594903,-97.58809665922838,-97.25208347298876,-96.9135647649954,-96.57262440898042,-96.22938686075751,-95.88404275300682,-95.53684966067627,-95.18812630659583,-94.83834217642993,-94.48814194722684,-94.13843070945966,-93.79042070753677,-93.44572691557953,-93.10651226824346,-92.77553723362792,-92.45619801159951,-92.15229520813227,-91.86785892707152,-91.60671741685829
-109.39614247672367,-109.21751811423682,-109.01997378683753,-108.8060424609305,-108.57843101711795,-108.3397364829619,-108.09225294038016,-107.83787182878459,-107.57808573924851,-107.31403202077963,-107.04655777585918,-106.7762847767206,-106.50364924817234,-106.22897151802323,-105.9524841033967,-105.67434898780054,-105.3946739415656,-105.11352436102027,-104.83093204941032,-104.54690188165685,-104.26141698159462,-103.9744428490927,-103.6859307556822,-103.39582064546168,-103.10404524396027,-102.81059100607357,-102.51530513003284,-102.21810086066246,-101.91889865643337,-101.61762088066315,-101.31419312929663,-101.00854520934884,-100.70062757842354,-100.39036813034083,-100.07770749583311,-99.76259830147379,-99.44499769779637,-99.1248678089378,-98.80219213200489,-98.47694379811959,-98.14909451139033,-97.81863912097917,-97.48558749983,-97.14996860106118,-96.81186593817637,-96.47133803944239,-96.12850552106296,-95.78354639540152,-95.43670865522016,-95.08835567663371,-94.73895364124235,-94.38912872643263,-94.03976569411141,-93.69207447089327,-93.34771432863214,-93.0088445109092,-92.67820163079853,-92.35913966483594,-92.05548804810462,-91.77132331519074,-91.51043862648483
-109.21767401265065,-109.0412301931047,-108.84600570955354,-108.63449939247084,-108.40938369961582,-108.17321919809844,-107.92826692165215,-107.67640924812547,-107.41912267434502,-107.15752976302993,-106.89246611474167,-106.62454050899372,-106.35417401407717,-106.08168267576177,-105.80729336542451,-105.53116342837208,-105.25339694263788,-104.9740565361061,-104.69317216734719,-104.41074780103408,-104.12676659935983,-103.84119506279028,-103.55398643755643,-103.26508362709716,-102.9744217777927,-102.6819730775079,-102.38762511863425,-102.09128374302895,-101.79287813262187,-101.49234007039627,-101.18960477261042,-100.88461130134958,-100.57730265314461,-100.26764038245256,-99.95556575359628,-99.64103242537239,-99.32399758278314,-99.0044227186025,-98.68227497249198,-98.35754188085326,-98.0302148363271,-97.70026836906538,-97.36771348804349,-97.03258035551951,-96.6949233630062,-96.3548431351376,-96.01247280655146,-95.66796806044273,-95.32157713923912,-94.97364199632887,-94.62463199724037,-94.27522973493097,-93.92628637744319,-93.57900572884203,-93.23502190357318,-92.89649445808162,-92.56621608599352,-92.24751381127868,-91.94420076228822,-91.66030797748823,-91.39965732077951
-108.9993571749497,-108.8281019235232,-108.63892619436007,-108.43402555470885,-108.21576226752475,-107.98979273426427,-107.74789094740407,-107.49886982832312,-107.24427990281933,-106.98527435220603,-106.72270055203943,-106.4571651753842,-106.18910467480517,-105.9188308533864,-105.64656659440192,-105.37246488194768,-105.09662623647363,-104.81911104394186,-104.53994788587663,-104.25913992955795,-103.97667047173472,-103.69250719389726,-103.4066055417416,-103.11891190594731,-102.82936633884208,-102.53791463551714,-102.24448203631034,-101.9489974815776,-101.65140008776818,-101.35163153785142,-101.04963592594707,-100.74535947557969,-100.4387502692197,-100.1297653139947,-99.81836964279528,-99.50450186870067,-99.18811614434887,-98.86917236026373,-98.54763731714155,-98.22348612347608,-97.89671448869083,-97.56733460957241,-97.23533303332535,-96.900741499915,-96.56361558835327,-96.22404159607876,-95.88214768492064,-95.53815020543907,-95.19225811773309,-94.84481345305736,-94.49628550664961,-94.14731821826436,-93.79881174114011,-93.45198853251951,-93.10845048066126,-92.77035509376539,-92.44045559944665,-92.12210525688462,-91.81916872516467,-91.53562493709808,-91.27529195588251
-108.75013879191613,-108.58259523302353,-108.39708819814565,-108.19586191645503,-107.98136007179451,-107.75594662574605,-107.52169322446814,-107.28029050814062,-107.03313642383254,-106.78124822235151,-106.52534027714,-106.26588437297771,-106.00309739571237,-105.73716526189965,-105.46834659666163,-105.19715150241437,-104.9238054640826,-104.64847857854679,-104.3712725178224,-104.0922293234698,-103.81135472590209,-103.52865636279151,-103.24408906823167,-102.95762392608619,-102.66920649008506,-102.37872948156357,-102.08622544477703,-101.79164827093359,-101.49494218431605,-101.19605052248778,-100.8949167152225,-100.59148454862822,-100.28569902038367,-99.97750705377366,-99.66688510154898,-99.35376984161334,-99.03810562824604,-98.71985605624825,-98.39899147432112,-98.07549022594905,-97.74934026059047,-97.42055166765262,-97.08915629347831,-96.7551592372988,-96.41861685053586,-96.07961600935555,-95.73828344106097,-95.39479827815934,-95.04944427880909,-94.70253802627252,-94.35453919721057,-94.00609143676273,-93.65807781315368,-93.31170541405962,-92.96865246269962,-92.63103081310307,-92.30158709628155,-91.98366518333756,-91.68108284128583,-91.3978972809602,-91.13791174214543
-108.49531346979239,-108.33038449892074,-108.14766971410202,-107.94941768605524,-107.73805826830296,-107.51593679688781,-107.28513143112562,-107.04735939337877,-106.80396900195831,-106.55596383716225,-106.30405977095789,-106.04874641399819,-105.79034579368131,-105.52906462907637,-105.26503884851842,-104.99836898690319,-104.72914462601362,-104.45745671342836,-104.18339880544706,-103.90706091404876,-103.62852098331945,-103.34783822569807,-103.06505028794182,-102.7801739759917,-102.49321366396262,-102.2041761063321,-101.91300714370135,-101.61967298148666,-101.32413167400746,-101.02633611286745,-100.72623648300441,-100.42378215061188,-100.11892303175593,-99.81161084648693,-99.50180199278626,-99.18948804727388,-98.87459283150824,-98.5570854783896,-98.23694073543814,-97.91414028492511,-97.58867450755277,-97.26054482112728,-96.92977995755238,-96.59642873274292,-96.26052004567737,-95.92214134567253,-95.58141991241206,-95.23853536306295,-94.89373675846234,-94.54739528396965,-94.19996995023544,-93.85208535357553,-93.50462388225517,-93.15879147866511,-92.81621747834222,-92.47908756629734,-92.15013766086749,-91.83268603742171,-91.53054585043647,-91.24773467510592,-90.98807432543322
