x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61
-144.15897129613953,-143.99461524498122,-143.8110546170189,-143.6108979945165,-143.39693523366853,-143.17183858916815,-142.93796509141492,-142.69726528505993,-142.45127691720023,-142.20117105787816,-141.94782022227457,-141.6918672296976,-141.43378379963866,-141.1739156735462,-140.9125154013774,-140.64976552140234,-140.38579487260876,-140.12069018910034,-139.85450448777135,-139.5872632765525,-139.3189692918732,-139.04960626734785,-138.77914208917935,-138.50753157733095,-138.23471903494783,-137.9606406324105,-137.68522663986914,-137.4084034936555,-137.13009567398097,-136.8502273772105,-136.5687239785073,-136.28551329407293,-136.0005266635551,-135.71369988199666,-135.42497401811502,-135.13429616341637,-134.841620166188,-134.54690741683066,-134.2501277670445,-133.95126068576477,-133.65029678045326,-133.3472398450665,-133.04210963843187,-132.7349456531942,-132.425812213354,-132.11480535178268,-131.80206209546805,-131.4877730752635,-131.17219985230207,-130.8556990860074,-130.53875663752203,-130.22203561669852,-129.9064424528958,-129.5932129020325,-129.28401378915265,-128.98104521400035,-128.68711320892893,-128.40562944684262,-128.1404910366921,-127.8958085056152,-127.67548714917817
-112.24525625197937,-112.08090020082103,-111.89733957285873,-111.6971829503564,-111.48322018950837,-111.25812354500799,-111.02425004725475,-110.78355024089974,-110.53756187304006,-110.28745601371799,-110.03410517811443,-109.77815218553745,-109.52006875547849,-109.26020062938603,-108.99880035721725,-108.73605047724217,-108.47207982844859,-108.20697514494019,-107.9407894436112,-107.67354823239236,-107.40525424771303,-107.1358912231877,-106.86542704501917,-106.5938165331708,-106.32100399078767,-106.04692558825035,-105.77151159570897,-105.49468844949533,-105.21638062982082,-104.93651233305033,-104.65500893434714,-104.37179824991279,-104.08681161939492,-103.79998483783648,-103.51125897395487,-103.22058111925617,-102.92790512202784,-102.63319237267049,-102.33641272288432,-102.03754564160461,-101.7365817362931,-101.43352480090633,-101.12839459427171,-100.82123060903405,-100.51209716919385,-100.20109030762252,-99.8883470513079,-99.57405803110335,-99.25848480814193,-98.94198404184732,-98.62504159336187,-98.30832057253835,-97.99272740873563,-97.67949785787233,-97.37029874499251,-97.06733016984018,-96.77339816476878,-96.49191440268248,-96.22677599253196,-95.98209346145502,-95.76177210501801
-111.06690604502751,-110.90254999386913,-110.71898936590681,-110.51883274340443,-110.30486998255648,-110.07977333805607,-109.84589984030283,-109.60520003394782,-109.35921166608814,-109.10910580676607,-108.85575497116251,-108.59980197858552,-108.34171854852656,-108.08185042243412,-107.82045015026533,-107.55770027029027,-107.29372962149671,-107.02862493798827,-106.76243923665929,-106.49519802544044,-106.22690404076111,-105.95754101623578,-105.68707683806727,-105.41546632621888,-105.14265378383575,-104.86857538129843,-104.59316138875705,-104.31633824254341,-104.03803042286891,-103.75816212609841,-103.47665872739522,-103.19344804296088,-102.90846141244305,-102.62163463088457,-102.33290876700296,-102.04223091230426,-101.74955491507596,-101.45484216571862,-101.15806251593239,-100.85919543465269,-100.55823152934119,-100.25517459395441,-99.9500443873198,-99.64288040208213,-99.33374696224193,-99.0227401006706,-98.70999684435598,-98.39570782415143,-98.08013460119001,-97.76363383489533,-97.44669138640995,-97.12997036558643,-96.81437720178374,-96.50114765092042,-96.19194853804058,-95.88897996288826,-95.59504795781693,-95.31356419573059,-95.04842578558004,-94.80374325450312,-94.58342189806609
-110.37761536124356,-110.21325931008528,-110.02969868212293,-109.82954205962054,-109.61557929877257,-109.3904826542722,-109.15660915651897,-108.91590935016396,-108.66992098230426,-108.4198151229822,-108.16646428737863,-107.91051129480165,-107.65242786474269,-107.39255973865023,-107.13115946648145,-106.86840958650639,-106.6044389377128,-106.33933425420439,-106.07314855287538,-105.80590734165658,-105.53761335697723,-105.2682503324519,-104.99778615428339,-104.726175642435,-104.45336310005187,-104.17928469751455,-103.90387070497317,-103.62704755875953,-103.34873973908503,-103.06887144231453,-102.78736804361134,-102.504157359177,-102.21917072865911,-101.93234394710069,-101.6436180832191,-101.35294022852042,-101.06026423129204,-100.76555148193472,-100.46877183214852,-100.16990475086881,-99.8689408455573,-99.56588391017053,-99.26075370353593,-98.95358971829825,-98.64445627845805,-98.33344941688672,-98.02070616057212,-97.70641714036753,-97.39084391740613,-97.07434315111148,-96.75740070262609,-96.44067968180255,-96.12508651799985,-95.81185696713656,-95.50265785425671,-95.19968927910436,-94.90575727403298,-94.62427351194668,-94.35913510179616,-94.11445257071924,-93.89413121428221
-109.88855583807553,-109.72419978691723,-109.54063915895492,-109.34048253645255,-109.12651977560458,-108.90142313110414,-108.66754963335093,-108.42684982699596,-108.18086145913631,-107.93075559981418,-107.67740476421062,-107.42145177163364,-107.16336834157468,-106.90350021548221,-106.64209994331344,-106.37935006333838,-106.11537941454478,-105.85027473103638,-105.58408902970736,-105.31684781848853,-105.04855383380921,-104.77919080928389,-104.50872663111538,-104.23711611926697,-103.96430357688386,-103.69022517434652,-103.41481118180516,-103.13798803559152,-102.85968021591701,-102.57981191914652,-102.29830852044333,-102.01509783600908,-101.7301112054911,-101.44328442393268,-101.15455856005103,-100.86388070535236,-100.571204708124,-100.2764919587667,-99.97971230898051,-99.6808452277008,-99.3798813223893,-99.07682438700252,-98.77169418036787,-98.46453019513024,-98.15539675529003,-97.84438989371871,-97.53164663740408,-97.21735761719953,-96.90178439423812,-96.58528362794344,-96.26834117945806,-95.95162015863454,-95.63602699483181,-95.32279744396851,-95.0135983310887,-94.71062975593637,-94.41669775086496,-94.13521398877866,-93.87007557862813,-93.62539304755123,-93.4050716911142
-109.5092118008414,-109.34485574968308,-109.16129512172081,-108.96113849921842,-108.74717573837042,-108.52207909387005,-108.2882055961168,-108.04750578976174,-107.8015174219021,-107.55141156258003,-107.29806072697646,-107.04210773439948,-106.78402430434056,-106.52415617824806,-106.26275590607935,-106.00000602610422,-105.7360353773106,-105.47093069380227,-105.2047449924732,-104.93750378125436,-104.66920979657506,-104.39984677204973,-104.12938259388122,-103.85777208203281,-103.58495953964974,-103.31088113711236,-103.035467144571,-102.75864399835736,-102.48033617868285,-102.20046788191237,-101.91896448320918,-101.63575379877486,-101.35076716825695,-101.06394038669852,-100.77521452281688,-100.48453666811821,-100.19186067088984,-99.89714792153251,-99.60036827174635,-99.30150119046671,-99.00053728515513,-98.69748034976836,-98.39235014313373,-98.0851861578961,-97.77605271805594,-97.46504585648455,-97.15230260016993,-96.83801357996538,-96.52244035700396,-96.20593959070928,-95.8889971422239,-95.57227612140038,-95.25668295759765,-94.94345340673438,-94.63425429385454,-94.33128571870226,-94.03735371363081,-93.75586995154453,-93.49073154139398,-93.24604901031708,-93.02572765388004
-109.19926515429168,-109.0349091031334,-108.85134847517106,-108.65119185266867,-108.43722909182067,-108.21213244732037,-107.97825894956705,-107.73755914321202,-107.49157077535236,-107.24146491603031,-106.98811408042675,-106.73216108784975,-106.47407765779079,-106.21420953169843,-105.95280925952956,-105.69005937955453,-105.42608873076088,-105.16098404725248,-104.89479834592353,-104.62755713470465,-104.35926315002533,-104.08990012550005,-103.81943594733153,-103.54782543548309,-103.27501289309998,-103.00093449056268,-102.72552049802128,-102.44869735180774,-102.17038953213314,-101.89052123536271,-101.60901783665943,-101.32580715222514,-101.04082052170725,-100.7539937401488,-100.46526787626716,-100.17459002156852,-99.88191402434012,-99.58720127498279,-99.29042162519661,-98.99155454391692,-98.69059063860543,-98.38753370321865,-98.082403496584,-97.77523951134637,-97.46610607150616,-97.15509920993483,-96.84235595362021,-96.52806693341566,-96.21249371045424,-95.89599294415956,-95.57905049567418,-95.26232947485066,-94.94673631104793,-94.63350676018464,-94.3243076473048,-94.0213390721525,-93.72740706708107,-93.44592330499478,-93.18078489484428,-92.93610236376733,-92.71578100733035
-108.93712973002071,-108.772852947427,-108.58929231946466,-108.38913569696234,-108.17517293611432,-107.95007629161393,-107.71620279386072,-107.47550298750566,-107.22951461964607,-106.97940876032398,-106.72605792472041,-106.47010493214341,-106.21202150208445,-105.95215337599204,-105.69075310382321,-105.42800322384821,-105.16403257505455,-104.89892789154617,-104.63274219021713,-104.36550097899831,-104.097206994319,-103.82784396979383,-103.55737979162527,-103.28576927977682,-103.01295673739364,-102.73887833485631,-102.46346434231496,-102.18664119610129,-101.90833337642678,-101.62846507965632,-101.34696168095311,-101.06375099651875,-100.77876436600087,-100.49193758444248,-100.20321172056084,-99.91253386586216,-99.61985786863377,-99.32514511927644,-99.02836546949028,-98.72949838821059,-98.42853448289908,-98.1254775475123,-97.82034734087766,-97.51318335564002,-97.20404991579981,-96.89304305422854,-96.58029979791387,-96.2660107777093,-95.95043755474791,-95.63393678845324,-95.31699433996783,-95.0002733191443,-94.68468015534158,-94.37145060447834,-94.06225149159846,-93.75928291644613,-93.46535091137473,-93.18386714928843,-92.91872873913792,-92.674046208061,-92.45372485162399
-108.69163457794032,-108.5295467868018,-108.3482697173669,-108.15031455689271,-107.93839394873852,-107.71530380626092,-107.48343995105122,-107.24449244844826,-106.9998728204431,-106.75074576744365,-106.49805556690572,-106.24271986242657,-105.98499407910315,-105.72515000853032,-105.46374973636163,-105.20099985638647,-104.93702920759286,-104.67192452408446,-104.40573882275541,-104.13849761153664,-103.8702036268573,-103.60084060233204,-103.33037642416346,-103.05876591231507,-102.78595336993196,-102.51187496739465,-102.23646097485324,-101.95963782863964,-101.68133000896515,-101.4014617121946,-101.11995831349144,-100.83674762905709,-100.55176099853917,-100.26493421698078,-99.97620835309915,-99.68553049840045,-99.39285450117208,-99.09814175181477,-98.80136210202859,-98.5024950207489,-98.20153111543739,-97.89847418005064,-97.59334397341597,-97.28617998817832,-96.97704654833822,-96.66603968676684,-96.35329643045216,-96.03900741024768,-95.72343418728622,-95.40693342099155,-95.08999097250614,-94.7732699516826,-94.45767678787989,-94.14444723701662,-93.83524812413678,-93.53227954898442,-93.23834754391311,-92.95686378182675,-92.69172537167623,-92.44704284059931,-92.2267214841623
-108.44076172691803,-108.28094804809086,-108.10234912296455,-107.90741704412035,-107.69869020031916,-107.47872001936288,-107.24977347689625,-107.01373640827603,-106.77210395049097,-106.52602209326703,-106.27635182783631,-106.0238773021908,-105.76911468053345,-105.51219115189835,-105.25335277695805,-104.9927990167745,-104.7306787732604,-104.46711946854953,-104.2023359557483,-103.93621354257179,-103.66874214837082,-103.39994295230356,-103.12985414521621,-102.85848238582842,-102.58572220931612,-102.31164380677878,-102.03622981423744,-101.75940666802377,-101.48109884834923,-101.20123055157872,-100.91972715287567,-100.63651646844123,-100.35152983792338,-100.06470305636493,-99.77597719248324,-99.48529933778461,-99.1926233405563,-98.89791059119898,-98.60113094141275,-98.30226386013305,-98.00129995482152,-97.69824301943478,-97.3931128128001,-97.0859488275625,-96.77681538772225,-96.46580852615097,-96.15306526983638,-95.83877624963179,-95.52320302667034,-95.2067022603757,-94.88975981189031,-94.57303879106674,-94.25744562726405,-93.94421607640078,-93.63501696352094,-93.33204838836862,-93.03811638329718,-92.75663262121091,-92.49149421106036,-92.2468116799835,-92.02649032354645
