x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61
-144.15908572346055,-143.97299369866136,-143.76782999731296,-143.54619493633922,-143.31086909026584,-143.0645159413759,-142.80948531081165,-142.5477226386693,-142.280762796188,-142.00977606793904,-141.7356360232287,-141.45898811964486,-141.1803080976211,-140.89994697438482,-140.61816377202643,-140.33514869100523,-140.05103944406997,-139.76593287053794,-139.47989330969358,-139.19295872913304,-138.90514529259264,-138.6164508590706,-138.3268577763228,-138.03633056633487,-137.74477735706662,-137.4521137748487,-137.1582855745008,-136.86317695171758,-136.56667040673688,-136.268668880062,-135.96910692038247,-135.66785978737437,-135.36481739386588,-135.05988859602422,-134.75301530020764,-134.44409170542443,-134.1330289682104,-133.81975910489493,-133.50424613641823,-133.18642410649366,-132.86624339797243,-132.54368141239212,-132.21875133193635,-131.89145963115473,-131.56183414660262,-131.2299482688023,-130.8959318033574,-130.55995046741256,-130.22222481232163,-129.88308338539446,-129.54299352092426,-129.2025849174186,-128.86269503150308,-128.52449784678063,-128.18959465510983,-127.86009444344033,-127.53865058441785,-127.22851937737654,-126.93343725070484,-126.65733186853862,-126.40388862590156
-144.12107997118912,-143.93582530286488,-143.73148084241294,-143.51064728430572,-143.27610557336527,-143.030519555031,-142.77623940657438,-142.5152109173053,-142.24896930087166,-141.97868517755884,-141.7052324458024,-141.42925688584216,-141.15123455439505,-140.87151677870924,-140.5903628847397,-140.30796337075856,-140.0244562413795,-139.7399386219397,-139.45447496876307,-139.16809583483663,-138.88080792208447,-138.59259922063097,-138.30343870604227,-138.0132839271077,-137.72211106471426,-137.4297970818298,-137.13624898822584,-136.8413783726141,-136.54509995961828,-136.24735199334637,-135.94798470356014,-135.6469037630187,-135.34401630579367,-135.03926816428523,-134.7325380379501,-134.42373601164553,-134.1127877508876,-133.7996478665355,-133.48424668129687,-133.16651873231393,-132.84642792444896,-132.52396478118726,-132.19912937072195,-131.8719161635784,-131.5423668882102,-131.21056142785028,-130.87663236215897,-130.54072099251778,-130.20306388963402,-129.86399073602573,-129.52398671272607,-129.1836422530306,-128.84381513244418,-128.50567919078318,-128.17085667442936,-127.8414135653405,-127.52002434521131,-127.20994479276358,-126.91493386658229,-126.638872680821,-126.38546900051715
-144.03979784739397,-143.8560533286706,-143.65324359484111,-143.4339571882282,-143.20096353326446,-142.9569166580565,-142.70415914259073,-142.4446314179913,-142.1798652585212,-141.9110292843158,-141.63899633678034,-141.36441165231582,-141.08775092285273,-140.80936504990075,-140.52951230681433,-140.24837676446006,-139.96609078904592,-139.68274539986118,-139.39839727849065,-139.11307476135164,-138.82678234627244,-138.53950420900844,-138.25120708887505,-137.96184279680148,-137.67136487612655,-137.3797377607007,-137.0868195442889,-136.79252439643128,-136.49676383917063,-136.19944670422882,-135.90051150796484,-135.5998523201659,-135.29735191065927,-134.99292366448486,-134.68648447884962,-134.3779888655113,-134.06733504777873,-133.7544467626883,-133.43926771502564,-133.12175967046355,-132.8019048146072,-132.47965246582243,-132.15499939186608,-131.8279627176667,-131.4986107520162,-131.1669960387436,-130.8332277339104,-130.49747371915677,-130.15998660522558,-129.8210970646467,-129.48124021890015,-129.1410400192485,-128.8013615428594,-128.46340105120365,-128.12871477626746,-127.79940009142979,-127.47813556857191,-127.1682172597898,-126.87331957832785,-126.59735779070493,-126.3440450370825
-143.9286757799367,-143.7467110975005,-143.54574911569605,-143.32836828527982,-143.097315174315,-142.85522353069624,-142.6044193730792,-142.34683051015372,-142.0839795888527,-141.81702881104522,-141.5468464553528,-141.27407430708047,-140.99918516498323,-140.7225257844961,-140.4443430969183,-140.16481911136174,-139.88408286148712,-139.6022209302482,-139.3192859019555,-139.0353026474582,-138.75027309812046,-138.46417996774272,-138.17698975497854,-137.8886552677415,-137.59911783872923,-137.30835449797326,-137.0162653159895,-136.72273551772656,-136.42768099541732,-136.13101506802883,-135.83264985365307,-135.53251528202534,-135.23054112938016,-134.92659980555845,-134.6206120074482,-134.31250287053481,-134.00220722385313,-133.6896949191433,-133.37486864626305,-133.05768487548954,-132.73811146521388,-132.41613925081123,-132.09178059864405,-131.7650271786353,-131.43592315956488,-131.10454422024225,-130.77102749458487,-130.43553216202324,-130.09828264230032,-129.75960816635506,-129.41996658228626,-129.08001026630504,-128.74056340332365,-128.40279915101019,-128.06830355926078,-127.73920507228684,-127.41815851148326,-127.10840683311889,-126.81366470021439,-126.53787174912917,-126.28473167280147
-143.79360523722346,-143.61363456617806,-143.41474304687276,-143.19948955450482,-142.9706126813262,-142.73072976260673,-142.48214471558452,-142.22676768966568,-141.96610779609307,-141.70131707265628,-141.43325613764532,-141.16256084322688,-140.8896991922481,-140.61500754612328,-140.33872668484295,-140.06103529091448,-139.78205835351469,-139.50187885966338,-139.22054638813887,-138.93808354351467,-138.6544908618201,-138.36975062460914,-138.0838298967593,-137.7966830214302,-137.50825374455155,-137.2184877121803,-136.92736605775423,-136.63473710548848,-136.34051885576932,-136.0446288228331,-135.74698339849462,-135.44749906427356,-135.1461086672004,-134.84275398812488,-134.53731254753657,-134.22971339738862,-133.91989103025898,-133.6077865574111,-133.29337622916975,-132.97660007216223,-132.65741457308937,-132.33580406911742,-132.0117690763053,-131.68534937696037,-131.35658485157495,-131.02553649263564,-130.69232151378844,-130.3571091584129,-130.0201625577571,-129.681796561351,-129.34245355507892,-129.0027573893373,-128.6635665264258,-128.32609206316533,-127.99187939779195,-127.66302399134156,-127.34220014232015,-127.03268632906496,-126.7381872627882,-126.46259413409288,-126.20961384209988
-143.63835218046586,-143.4604704343126,-143.2637871228879,-143.05083142588524,-142.82430571551734,-142.58679846325103,-142.3405982676179,-142.08760302304495,-141.82930584662066,-141.56684642241868,-141.3010758924915,-141.0326227277807,-140.76194859512992,-140.4893768956282,-140.21514450845882,-139.9394258652302,-139.66234232347125,-139.38397389894928,-139.10436791202577,-138.8235454784671,-138.54150646051602,-138.25823330122918,-137.97369404732515,-137.68784479040602,-137.4006317035423,-137.1119928081897,-136.8219156596421,-136.53028522272237,-136.236998170539,-135.94197601510447,-135.6451392495717,-135.346408520098,-135.0457057293375,-134.74297510638112,-134.43815404880007,-134.13113626993575,-133.82186034637914,-133.51027134642078,-133.19632208155002,-132.87999093727322,-132.56125475184265,-132.2400759976804,-131.9164577798852,-131.59042270130848,-131.26201853384063,-130.93135805421753,-130.5985226174907,-130.26368227763533,-129.9270754142412,-129.58903180855305,-129.2500432571844,-128.91069703828788,-128.57184809583876,-128.23466846909017,-127.90074954360563,-127.57221609833101,-127.25170254072027,-126.94245801359976,-126.6481919086606,-126.37284375357592,-126.12010432170877
-143.4655955835928,-143.28985333496237,-143.09544652487997,-142.88487147820373,-142.66079756025908,-142.42578283113724,-142.18208564845716,-141.93157797474203,-141.6757469655318,-141.4157218861857,-141.1523434622344,-140.88623207527255,-140.6178412625644,-140.3474816392133,-140.0753866082107,-139.8017265393022,-139.52661950770243,-139.25014300130596,-138.97234255941677,-138.69323826213142,-138.41282967819953,-138.1310996872588,-137.8480174750039,-137.5635409261688,-137.27761859103407,-136.99019136424656,-136.7012220098999,-136.41066016531255,-136.11837317295806,-135.82428633848374,-135.5283240851306,-135.23041111230046,-134.93047348591534,-134.62843966482313,-134.32427073993188,-134.01789039357544,-133.70921627389853,-133.39819766289713,-133.084791343213,-132.76896298776072,-132.4506997270327,-132.13000606350087,-131.8068581246678,-131.48128050480406,-131.1533218573774,-130.82306151680814,-130.4906425564107,-130.15622556609637,-129.82003459622703,-129.48239974032325,-129.14377487078187,-128.80479930248958,-128.46634098111335,-128.12954368659902,-127.79599061941829,-127.46777408816237,-127.14758576621392,-126.83867719252191,-126.54472757969867,-126.26964118611238,-126.01711889391923
-143.27734391923647,-143.10375929651303,-142.91165890791598,-142.70350437675847,-142.48192992116103,-142.24946101235534,-142.00832779567853,-141.76037820476995,-141.50707285267208,-141.24953846989055,-140.98860780787075,-140.72489281827546,-140.45883686419265,-140.1907389362185,-139.92082963297307,-139.649275509569,-139.37619166499192,-139.10165339038164,-138.82570476639597,-138.54836512014847,-138.26963394481987,-137.9894946935801,-137.7079177412076,-137.42486273287005,-137.14028049229543,-136.85411462892196,-136.56630813041906,-136.27685975283342,-135.9856204076031,-135.6925159636578,-135.39747473273513,-135.10042552299245,-134.8012987049346,-134.5000271907249,-134.1965473447567,-133.8908397534696,-133.5828119957106,-133.27240960093516,-132.9595932832149,-132.64433223256978,-132.3266058002308,-132.00641502310287,-131.6837862865282,-131.35871525777992,-131.03125198301456,-130.7014769338581,-130.3695099262603,-130.03553596308248,-129.69980801209473,-129.36262840851444,-129.02445108805267,-128.6858994287074,-128.34782930618996,-128.01145285340468,-127.67831474298845,-127.35050070127139,-127.03067823585027,-126.72209047811057,-126.42848578378667,-126.15372545842375,-125.90150017933553
-143.06827249383338,-142.8984778938486,-142.71014142149141,-142.50558413272597,-142.2873934462318,-142.0581208278192,-141.8200055651706,-141.5749193870715,-141.3243511723398,-141.06944114557402,-140.8110402616053,-140.5497739543366,-140.28608191543444,-140.02026995993518,-139.75256874272227,-139.4831419610639,-139.21210246082288,-138.93952384068513,-138.66544923438482,-138.38989747338144,-138.11286813557024,-137.83434532409515,-137.55430058505507,-137.2726952035827,-136.98948209338522,-136.70460735709335,-136.41801167067825,-136.129689865243,-135.83952540641403,-135.54743130284314,-135.2533399814414,-134.95718464689307,-134.65890027697836,-134.35842451299564,-134.055698464334,-133.75067634888674,-133.4433330461935,-133.13358750746983,-132.82140392016413,-132.5067545202793,-132.18962127930615,-131.8699981062771,-131.547904822677,-131.22338669735439,-130.89646490215375,-130.56722091146267,-130.23577535808673,-129.90230009852365,-129.56704050000758,-129.23035973066476,-128.89267295370118,-128.55460329264594,-128.2170060465443,-127.88105062719316,-127.5483442031739,-127.22097122347732,-126.90157331596006,-126.59339014216215,-126.30012015348511,-126.02568342064559,-125.77378309864712
-142.825834568992,-142.6608707187538,-142.4779588321394,-142.27925297261135,-142.0670805994467,-141.8436952794498,-141.6111199484716,-141.37107965166544,-141.12499801059278,-140.87402520224012,-140.61907383049166,-140.3608527451339,-140.0998983120159,-139.83660490410648,-139.57125447119674,-139.30404322658953,-139.03510358352653,-138.76452078307287,-138.4923448270137,-138.21859818596886,-137.94328547136593,-137.66639238568243,-137.38789235055486,-137.10774872136147,-136.82591700143556,-136.54234596082762,-136.25697933538265,-135.9697944340918,-135.6807139338794,-135.3896427918776,-135.09651768913227,-134.8012763663962,-134.50385847054446,-134.204206310986,-133.90226554506367,-133.59798583574528,-133.29134701101944,-132.9822981902547,-132.67078910191128,-132.35679438100524,-132.0402980989981,-131.7212959909009,-131.39979836821405,-131.07584953664767,-130.74951254596687,-130.4208426221124,-130.08996115789228,-129.75704059740806,-129.42232097076595,-129.08613332648363,-128.74897772652784,-128.4114302895898,-128.07434542553727,-127.7388914521539,-127.4066470523844,-127.07971232543028,-126.76077403258806,-126.45302892080315,-126.1601711632418,-125.886092481598,-125.63448620842041
