x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61
-209.26308604663816,-209.07469350640915,-208.8669115722744,-208.64236006942144,-208.403841495623,-208.15404003774813,-207.895322492333,-207.6296462551452,-207.35855283679604,-207.08321417178234,-206.80450108223366,-206.5230524816207,-206.23933423854058,-205.95368446659185,-205.66634639608003,-205.3774915975966,-205.08723635374582,-204.79565339199536,-204.50278054849494,-204.20862742882548,-203.9131844568689,-203.61639997359833,-203.3181518835221,-203.01832870621595,-202.71682836611612,-202.4135850440585,-202.1084462131479,-201.8012937915186,-201.49203622342716,-201.18058863522864,-200.86687934538875,-200.55083701299418,-200.23239329891837,-199.9114952688467,-199.58809362142023,-199.26214218136698,-198.93360900267876,-198.6024579983865,-198.26864477134924,-197.93213926471026,-197.59292077339586,-197.25098094122228,-196.9063390456561,-196.55903662192682,-196.2091003439152,-195.8566161114281,-195.50171183361368,-195.1445702334637,-194.7854509271194,-194.42474421871066,-194.06289248476506,-193.70056204589153,-193.33866834220214,-192.97846401517054,-192.62164483976187,-192.27050417227045,-191.92784582572577,-191.59714704454163,-191.2823789021208,-190.98772631386677,-190.71717429666754
-209.19408854679085,-209.00719351044938,-208.80087764057282,-208.57776137773172,-208.34064782489887,-208.09222176405257,-207.8348505768381,-207.57049223423022,-207.30068881224025,-207.0266128010616,-206.7491355689161,-206.46889628303217,-206.18635899752465,-205.90186021590858,-205.61564061098724,-205.32786740667436,-205.03865007348017,-204.74805132949803,-204.4560951240481,-204.162772803075,-203.86804830085177,-203.57187396377603,-203.27423161126367,-202.97494269597465,-202.6739010758518,-202.37101028371995,-202.0661741508623,-201.75929958594605,-201.4503117202953,-201.1391172869254,-200.8256329919773,-200.50979773086655,-200.19155540855164,-199.8708539691763,-199.54764772025698,-199.221901737158,-198.89356637641433,-198.5625999741471,-198.22896561383163,-197.89263332899208,-197.55358266903716,-197.21183341293371,-196.8673749070643,-196.52022519612532,-196.1704379976975,-195.8180995449558,-195.4633379887498,-195.1063496207103,-194.74740888794798,-194.38683554987836,-194.02511443538503,-193.66291175562733,-193.30114276401704,-192.94106246086375,-192.58441557988306,-192.23338767711923,-191.8908370906775,-191.5602401552805,-191.2455668929277,-190.95100780125176,-190.6805838311544
-209.0491670563922,-208.86486536495278,-208.66117864775995,-208.44070531751476,-208.20623657287305,-207.96044281202205,-207.70567760377205,-207.44388713572346,-207.17660390949595,-206.90499245291628,-206.6299168632183,-206.35200906882608,-206.07172688449396,-205.7893986809744,-205.50525583058482,-205.21945568750397,-204.93209788547233,-204.6432361534017,-204.35288720719174,-204.06103777253952,-203.76765044044743,-203.47266880681602,-203.17605844814875,-202.87774068527588,-202.5775599310261,-202.27543214598816,-201.97127511284563,-201.6650105535607,-201.35656541563003,-201.0458723566563,-200.73286732378335,-200.41749736985136,-200.09971578493708,-199.77947397547615,-199.4567237246544,-199.13141763625802,-198.80351012611987,-198.4729655625575,-198.13977021823732,-197.80386405765438,-197.4652264414953,-197.12385012147368,-196.77974418588346,-196.43293792747366,-196.08349188368442,-195.73152604281123,-195.37712987383006,-195.0204866477222,-194.6618519772023,-194.30157859030385,-193.94015124021072,-193.57825961571123,-193.21682556597048,-192.85707030817994,-192.50068661755742,-192.14991232374672,-191.80760409080952,-191.47724383770463,-191.1628494469434,-190.86854370004815,-190.5982915234801
-208.853470480852,-208.6720679317934,-208.47140615887156,-208.25405812786826,-208.02277337661252,-207.78018460078613,-207.5286133199035,-207.26997965286304,-207.00579534464813,-206.73720829949016,-206.46506886587778,-206.18999704785006,-205.9124398501985,-205.63271559665435,-205.35104633538126,-205.06758101629407,-204.78241214151825,-204.4955880097537,-204.2071220398525,-203.9170001681032,-203.6251869787722,-203.33163099587398,-203.0362736950161,-202.7390839294325,-202.43991386514244,-202.13869685976795,-201.8353707917063,-201.5298774858842,-201.22216240436626,-200.9121737597902,-200.59986140446102,-200.2851758115906,-199.96807587400752,-199.6485212254924,-199.32645457771392,-199.00182066802026,-198.6745682028721,-198.34465155654087,-198.0120324332068,-197.67668156661745,-197.33860881151566,-196.99779528357965,-196.6542365861583,-196.30796426819234,-195.95903452015696,-195.60753531195374,-195.25359602145943,-194.89740820977923,-194.53926449219438,-194.17947294122314,-193.81851832084058,-193.4570665223749,-193.09603206511267,-192.7366659509025,-192.38067359227756,-192.03032569312063,-191.6884278637476,-191.35845117896255,-191.04435944216726,-190.7503298337924,-190.48032392653437
-208.61797251548256,-208.4395846287695,-208.24212233066123,-208.02810829393516,-207.8002414291388,-207.5611074922776,-207.31298714036978,-207.05776650605065,-206.79692983128666,-206.5316029473979,-206.2626183222951,-205.99058116838282,-205.71592597057688,-205.4389603020661,-205.15989700610453,-204.87887737507577,-204.5959879839411,-204.31127326962167,-204.0247453173333,-203.73639180868898,-203.44618271387395,-203.154076028725,-202.85998324006263,-202.56381276462864,-202.26561720278698,-201.96535035723116,-201.6629668583673,-201.35842024692226,-201.05166157769068,-200.7426387448584,-200.4312965420236,-200.1175773507535,-199.8014222926255,-199.48279455300536,-199.16164437788865,-198.83788523566255,-198.51146643472933,-198.1823457207589,-197.85048954467248,-197.51587367243005,-197.1784843234758,-196.83832003232214,-196.49541627644385,-196.1498105108621,-195.80153389841868,-195.45067489996333,-195.0973632830527,-194.74178318680342,-194.38419092404607,-194.0249396969497,-193.66454862644684,-193.30367407467597,-192.94320471147316,-192.5843905508812,-192.2289213930732,-191.8790308223622,-191.537569783511,-191.2080376811954,-190.89440054114553,-190.600792106187,-190.33116944219455
-208.27047229441774,-208.09812901120256,-207.90785834955057,-207.70195040630097,-207.4828762918675,-207.25301050402982,-207.0144402060951,-206.768869321772,-206.51760223334955,-206.2615814206014,-206.00145387828613,-205.73764705530164,-205.47044172757657,-205.2000341625169,-204.92658319192344,-204.65024033301043,-204.37116357458106,-204.08950960781448,-203.8054315679116,-203.519071413264,-203.2305446784947,-202.9399303932181,-202.64728233319073,-202.35262042282966,-202.0559315675487,-201.7571809917337,-201.45631790858144,-201.15328071065883,-200.84800150753694,-200.5404097704346,-200.23043597741696,-199.91801286615825,-199.60307756822627,-199.28557251880562,-198.9654499900319,-198.64270344512582,-198.31724260766018,-197.98903891209255,-197.65806825460672,-197.32431255339475,-196.987761809055,-196.64841677007564,-196.3062923537976,-195.96142203964928,-195.61389279806627,-195.26379079963823,-194.91122055880635,-194.55636710640113,-194.19948744575547,-193.84093521606624,-193.48119548283492,-193.1209337311828,-192.76108330494884,-192.40291899586163,-192.04808206075202,-191.69880328362044,-191.35792989208042,-191.02892429856948,-190.71574035298963,-190.4225463469893,-190.15337274185922
-207.92174765517285,-207.75389298036123,-207.567990938553,-207.36631367891349,-207.151313567085,-206.9253553319026,-206.69053355017107,-206.44857479284468,-206.2008509598775,-205.94839865559481,-205.6919823069542,-205.4321524581949,-205.16933939830386,-204.90380630596945,-204.63564212507137,-204.36487286481267,-204.09149521855437,-203.81550372235287,-203.53690889302618,-203.2557450521422,-202.97206873535563,-202.68595058013366,-202.3974447173085,-202.10646496779881,-201.813010149847,-201.5170906038653,-201.21870564083815,-200.9178422953266,-200.61447904801017,-200.30858936209563,-200.0001436365331,-199.68911054690378,-199.37545794078054,-199.05915348115073,-198.7401652072525,-198.41846214453508,-198.09405407367677,-197.7668843968471,-197.4369243248474,-197.10415540972792,-196.76856764253907,-196.4301622133646,-196.08895489605845,-195.74498031800405,-195.39829747015742,-195.04899693735163,-194.69725890316965,-194.34323382654048,-193.98716665997023,-193.6294115055389,-193.2704535226531,-192.91095789097386,-192.55183709022572,-192.19433840359625,-191.8401663668847,-191.49158369440934,-191.151379005177,-190.82300954841514,-190.51042327095314,-190.21778071013225,-189.94902795935323
-207.55234879993026,-207.3893142647351,-207.20845640848708,-207.01191083467504,-206.80203052434672,-206.5811239566805,-206.35127055294416,-206.11422267433738,-205.8713797012929,-205.62380890523093,-205.3722888698703,-205.11735881694054,-204.85936576497502,-204.5985075705256,-204.33487260022645,-204.0684767398077,-203.79929704396605,-203.52729996383323,-203.25246172339575,-202.97477934110108,-202.6942726014385,-202.4109791377957,-202.12497578746783,-201.83628753103173,-201.54492507643843,-201.25092628140933,-200.9543178153423,-200.65511421528626,-200.35331864466957,-200.0489244475261,-199.74191692519358,-199.43227507309777,-199.11997321189088,-198.80498253282363,-198.4872725951183,-198.1668128065559,-197.84357391386246,-197.51757646815588,-197.18876159244004,-196.85710227062162,-196.522591400764,-196.18523329173104,-195.8450466811274,-195.50206879046632,-195.15636074108275,-194.80801477212592,-194.45716388573135,-194.10400858704116,-193.74884672702615,-193.39197956261842,-193.03389232343434,-192.67524988793141,-192.3169639250883,-191.96028024063705,-191.60688199873363,-191.2589932239758,-190.91948463252837,-190.59182343499884,-190.27990316500896,-189.98787787013163,-189.71968778829694
-207.11871144606124,-206.96089467613845,-206.78622602795957,-206.59675504643778,-206.39468865141535,-206.182144407217,-205.9609866207254,-205.7327495106188,-205.49862946231062,-205.2595193400133,-205.0160600550482,-204.7686928172156,-204.5177045665073,-204.2632657889673,-204.00546313843336,-203.7443293531299,-203.47987108253926,-203.21209303005827,-202.94101568728186,-202.66668450946636,-202.38917026005305,-202.1084060973987,-201.82459078470364,-201.53796481503866,-201.2486028936643,-200.9565588323002,-200.66186569678638,-200.36453786663466,-200.064574245253,-199.76196190627522,-199.45667962295025,-199.14870094247675,-198.83799667323854,-198.52453680689743,-198.20829198593992,-197.8892346620484,-197.56734009389913,-197.24258732531263,-196.9150082414571,-196.58455538616238,-196.2512162143118,-195.9149996956308,-195.5759279245462,-195.23404052163158,-194.88940032755102,-194.54210082901218,-194.19227594369684,-193.84011309363197,-193.4858709859944,-193.12995851234885,-192.77282534075724,-192.41511754679794,-192.05774599160765,-191.70195493968222,-191.34942509459154,-191.0023769393101,-190.66364386643804,-190.33667104826588,-190.02545362327925,-189.73410229872113,-189.46652420047684
-206.6690865216902,-206.51605831257874,-206.34635649582557,-206.16195517137572,-205.96500384684484,-205.75758852335008,-205.5415684764903,-205.31849426341572,-205.08959150867798,-204.85578587742592,-204.6177460051939,-204.3759285306988,-204.13061807570625,-203.8819558180585,-203.6299866774735,-203.37468153237492,-203.1159731016262,-202.8537893133523,-202.5880816085127,-202.31886763925326,-202.04620664380442,-201.77019482951303,-201.4909266458044,-201.20839270831294,-200.92269115893143,-200.63392133867808,-200.34216356411102,-200.04747786801667,-199.7499055850517,-199.44947230348828,-199.14619111480803,-198.84006558452302,-198.5310922523673,-198.21926269221476,-197.90456525026391,-197.58698659092053,-197.26651316258227,-196.94313267953456,-196.61683571331147,-196.28767248393692,-195.95559893052484,-195.62061796634669,-195.28275353215423,-194.9420470044014,-194.59856282346192,-194.2523958711341,-193.90368122166961,-193.5526071894943,-193.19943308475212,-192.84451383416916,-192.4883650765649,-192.1316682623049,-191.77528565300975,-191.42045979614073,-191.06886865571195,-190.72272870661172,-190.38486790471464,-190.05872458118287,-189.74822480297732,-189.45751895999376,-189.1906006462793
