x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61
-178.0088355767512,-177.84544355195214,-177.66297985060373,-177.4640447896299,-177.25141894355664,-177.02776579466678,-176.7954351641024,-176.55637249196013,-176.31211264947882,-176.06382592122986,-175.81238587651944,-175.55843797293568,-175.30245795091184,-175.0447968276756,-174.78571362531716,-174.52539854429597,-174.26398929736075,-174.00158272382862,-173.7382431629843,-173.47400858242378,-173.2088951458834,-172.94290071236145,-172.6760076296136,-172.4081850856607,-172.1393911967196,-171.86957493674765,-171.598677955899,-171.32663629612603,-171.05338199254328,-170.77884454603344,-170.50295226047058,-170.2256334507997,-169.9468175411899,-169.66643608289365,-169.3844237287463,-169.10071920646772,-168.81526633779356,-168.52801515691806,-168.2389231916594,-167.94795698603627,-167.65509396550186,-167.36032477816144,-167.06365628957116,-166.76511546893852,-166.46475448697169,-166.16265746272683,-165.85894947408372,-165.553808731159,-165.24748327494484,-164.940314273389,-164.63276892366946,-164.32548685155075,-164.01934396436928,-163.71553561052642,-163.4156749744131,-163.12189191106444,-162.8369031519708,-162.5640118481736,-162.30699097664058,-162.06981973267847,-161.85627795333733
-146.56509288149593,-146.40170085669692,-146.2192371553485,-146.02030209437467,-145.8076762483014,-145.58402309941152,-145.3516924688472,-145.11262979670488,-144.8683699542236,-144.6200832259746,-144.36864318126422,-144.11469527768045,-143.85871525565656,-143.6010541324204,-143.34197093006196,-143.08165584904071,-142.8202466021055,-142.55784002857337,-142.29450046772908,-142.03026588716853,-141.76515245062814,-141.49915801710614,-141.23226493435834,-140.96444239040548,-140.69564850146435,-140.42583224149243,-140.15493526064373,-139.88289360087077,-139.60963929728803,-139.33510185077822,-139.05920956521533,-138.78189075554448,-138.50307484593463,-138.22269338763837,-137.94068103349107,-137.6569765112125,-137.37152364253834,-137.0842724616628,-136.7951804964042,-136.50421429078105,-136.2113512702466,-135.9165820829062,-135.61991359431593,-135.3213727736833,-135.02101179171643,-134.71891476747157,-134.4152067788285,-134.11006603590377,-133.8037405796896,-133.49657157813374,-133.18902622841424,-132.8817441562955,-132.575601269114,-132.2717929152711,-131.97193227915784,-131.67814921580913,-131.39316045671552,-131.12026915291838,-130.86324828138532,-130.62607703742322,-130.4125352580821
-145.386742674544,-145.223350649745,-145.04088694839658,-144.8419518874228,-144.62932604134943,-144.40567289245965,-144.17334226189524,-143.934279589753,-143.69001974727166,-143.44173301902268,-143.1902929743123,-142.93634507072855,-142.68036504870466,-142.42270392546845,-142.16362072311003,-141.90330564208878,-141.64189639515357,-141.3794898216215,-141.11615026077715,-140.85191568021665,-140.5868022436762,-140.32080781015426,-140.0539147274064,-139.78609218345355,-139.51729829451241,-139.2474820345405,-138.97658505369185,-138.70454339391884,-138.43128909033607,-138.15675164382628,-137.8808593582634,-137.60354054859255,-137.32472463898273,-137.04434318068647,-136.7623308265391,-136.47862630426056,-136.1931734355864,-135.90592225471087,-135.61683028945228,-135.32586408382912,-135.03300106329468,-134.73823187595428,-134.441563387364,-134.14302256673136,-133.8426615847645,-133.54056456051964,-133.23685657187653,-132.9317158289518,-132.62539037273766,-132.3182213711818,-132.0106760214623,-131.70339394934356,-131.3972510621621,-131.09344270831923,-130.7935820722059,-130.49979900885725,-130.21481024976362,-129.94191894596645,-129.68489807443342,-129.44772683047128,-129.23418505113017
-144.69745199076013,-144.53405996596112,-144.35159626461277,-144.15266120363893,-143.94003535756553,-143.7163822086757,-143.48405157811135,-143.24498890596908,-143.00072906348777,-142.75244233523884,-142.5010022905284,-142.24705438694463,-141.99107436492076,-141.73341324168456,-141.4743300393261,-141.21401495830494,-140.95260571136967,-140.6901991378376,-140.42685957699325,-140.16262499643273,-139.89751155989234,-139.63151712637037,-139.3646240436226,-139.09680149966965,-138.82800761072852,-138.55819135075666,-138.28729436990798,-138.01525271013497,-137.7419984065522,-137.46746096004244,-137.1915686744795,-136.91424986480865,-136.63543395519878,-136.35505249690257,-136.07304014275527,-135.78933562047666,-135.50388275180254,-135.21663157092706,-134.92753960566844,-134.63657340004522,-134.34371037951087,-134.04894119217047,-133.7522727035801,-133.45373188294747,-133.15337090098066,-132.85127387673575,-132.54756588809263,-132.2424251451679,-131.93609968895376,-131.6289306873979,-131.3213853376784,-131.01410326555967,-130.70796037837823,-130.40415202453545,-130.104291388422,-129.8105083250734,-129.52551956597978,-129.25262826218255,-128.9956073906495,-128.7584361466874,-128.54489436734627
-144.2083924675921,-144.04500044279305,-143.86253674144467,-143.66360168047083,-143.45097583439752,-143.2273226855077,-142.99499205494337,-142.75592938280104,-142.51166954031976,-142.26338281207077,-142.01194276736047,-141.75799486377664,-141.50201484175275,-141.24435371851655,-140.98527051615812,-140.7249554351369,-140.46354618820172,-140.20113961466953,-139.93780005382527,-139.67356547326472,-139.4084520367243,-139.14245760320236,-138.87556452045453,-138.60774197650167,-138.3389480875605,-138.0691318275886,-137.79823484673994,-137.5261931869669,-137.2529388833842,-136.97840143687435,-136.7025091513115,-136.42519034164064,-136.14637443203074,-135.86599297373456,-135.5839806195872,-135.30027609730868,-135.0148232286345,-134.72757204775903,-134.43848008250035,-134.14751387687724,-133.85465085634274,-133.55988166900238,-133.2632131804121,-132.96467235977943,-132.66431137781262,-132.36221435356774,-132.05850636492463,-131.7533656219999,-131.44704016578578,-131.1398711642299,-130.83232581451043,-130.52504374239166,-130.21890085521022,-129.91509250136733,-129.615231865254,-129.32144880190546,-129.03646004281177,-128.76356873901457,-128.50654786748152,-128.26937662351935,-128.05583484417826
-143.82904843035794,-143.66565640555893,-143.4831927042105,-143.28425764323669,-143.07163179716338,-142.84797864827357,-142.61564801770922,-142.37658534556692,-142.13232550308564,-141.88403877483663,-141.63259873012626,-141.3786508265425,-141.1226708045186,-140.86500968128243,-140.60592647892406,-140.34561139790273,-140.08420215096754,-139.8217955774354,-139.55845601659112,-139.29422143603063,-139.0291079994902,-138.76311356596818,-138.49622048322036,-138.2283979392675,-137.95960405032642,-137.68978779035444,-137.41889080950577,-137.14684914973276,-136.87359484615007,-136.5990573996402,-136.32316511407737,-136.0458463044065,-135.76703039479662,-135.48664893650042,-135.20463658235306,-134.92093206007462,-134.63547919140035,-134.34822801052485,-134.0591360452663,-133.76816983964306,-133.47530681910874,-133.1805376317682,-132.88386914317806,-132.58532832254542,-132.28496734057853,-131.9828703163336,-131.6791623276905,-131.3740215847659,-131.06769612855163,-130.76052712699575,-130.45298177727636,-130.1456997051575,-129.83955681797605,-129.53574846413318,-129.23588782801988,-128.94210476467126,-128.65711600557762,-128.3842247017804,-128.1272038302474,-127.89003258628523,-127.67649080694413
-143.5191017838083,-143.35570975900922,-143.17324605766078,-142.97431099668705,-142.7616851506136,-142.5380320017238,-142.30570137115947,-142.06663869901718,-141.8223788565359,-141.57409212828688,-141.32265208357657,-141.0687041799927,-140.81272415796892,-140.5550630347327,-140.29597983237426,-140.035664751353,-139.7742555044178,-139.51184893088566,-139.24850937004143,-138.98427478948088,-138.71916135294046,-138.45316691941852,-138.18627383667064,-137.91845129271775,-137.64965740377662,-137.37984114380475,-137.10894416295605,-136.8369025031831,-136.56364819960032,-136.2891107530905,-136.01321846752762,-135.73589965785672,-135.45708374824693,-135.1767022899507,-134.89468993580334,-134.6109854135248,-134.3255325448507,-134.0382813639751,-133.74918939871648,-133.45822319309332,-133.16536017255896,-132.8705909852185,-132.57392249662826,-132.2753816759956,-131.9750206940287,-131.6729236697839,-131.36921568114073,-131.06407493821604,-130.7577494820019,-130.45058048044606,-130.14303513072656,-129.8357530586079,-129.52961017142636,-129.22580181758343,-128.92594118147017,-128.63215811812148,-128.34716935902784,-128.0742780552308,-127.8172571836976,-127.58008593973547,-127.36654416039437
-143.25704562810193,-143.09365360330287,-142.91118990195457,-142.71225484098073,-142.4996289949073,-142.27597584601742,-142.04364521545318,-141.80458254331086,-141.56032270082963,-141.31203597258065,-141.0605959278702,-140.80664802428637,-140.55066800226257,-140.29300687902634,-140.03392367666788,-139.7736085956467,-139.51219934871156,-139.2497927751793,-138.98645321433506,-138.72221863377456,-138.4571051972341,-138.19111076371212,-137.92421768096426,-137.65639513701146,-137.38760124807027,-137.11778498809838,-136.8468880072497,-136.57484634747675,-136.30159204389395,-136.02705459738416,-135.75116231182125,-135.47384350215043,-135.19502759254055,-134.91464613424438,-134.632633780097,-134.34892925781844,-134.06347638914428,-133.77622520826878,-133.4871332430101,-133.19616703738697,-132.90330401685256,-132.60853482951217,-132.3118663409219,-132.01332552028924,-131.71296453832235,-131.41086751407755,-131.1071595254344,-130.80201878250972,-130.49569332629554,-130.1885243247397,-129.8809789750202,-129.57369690290145,-129.26755401571998,-128.96374566187706,-128.6638850257638,-128.3701019624151,-128.0851132033215,-127.81222189952435,-127.5552010279913,-127.31802978402915,-127.10448800468805
-143.01672963973232,-142.8551060124434,-142.67440223983868,-142.47730404082412,-142.26658018905817,-142.04466517974762,-141.81373771854666,-141.57571380750662,-141.3321481638442,-141.08448456099694,-140.83351484077863,-140.57964465682474,-140.32366463480088,-140.06600351156465,-139.80692030920628,-139.54660522818497,-139.28519598124976,-139.0227894077176,-138.75944984687334,-138.49521526631284,-138.2301018297724,-137.96410739625048,-137.6972143135026,-137.42939176954974,-137.16059788060855,-136.89078162063672,-136.619884639788,-136.347842980015,-136.07458867643228,-135.80005122992253,-135.5241589443596,-135.2468401346887,-134.9680242250789,-134.68764276678272,-134.4056304126353,-134.12192589035675,-133.83647302168265,-133.5492218408072,-133.2601298755485,-132.96916366992534,-132.67630064939087,-132.38153146205048,-132.0848629734602,-131.78632215282752,-131.4859611708607,-131.18386414661595,-130.8801561579727,-130.575015415048,-130.26868995883387,-129.96152095727805,-129.6539756075585,-129.34669353543978,-129.04055064825832,-128.73674229441536,-128.4368816583021,-128.14309859495341,-127.85810983585979,-127.58521853206268,-127.3281976605296,-127.09102641656753,-126.87748463722635
-142.77257111787173,-142.61345110218028,-142.43549342700325,-142.24116449433373,-142.0331205897565,-141.81392043904395,-141.5858329478257,-141.35074613838697,-141.11016371036715,-140.86541763999045,-140.61738742244611,-140.36647763226478,-140.11314752053138,-139.85775712270492,-139.60057829757298,-139.34190086668912,-139.0820021615342,-138.8207531554204,-138.55821981759624,-138.2944941672724,-138.02976891921153,-137.76387623563454,-137.4969831528867,-137.22916060893388,-136.9603667199927,-136.6905504600208,-136.41965347917215,-136.14761181939926,-135.87435751581643,-135.59982006930662,-135.3239277837437,-135.04660897407288,-134.767793064463,-134.4874116061668,-134.20539925201953,-133.92169472974086,-133.63624186106676,-133.34899068019135,-133.05989871493264,-132.7689325093096,-132.47606948877504,-132.18130030143462,-131.88463181284442,-131.58609099221167,-131.2857300102448,-130.98363298599998,-130.67992499735686,-130.37478425443214,-130.068458798218,-129.76128979666217,-129.45374444694264,-129.1464623748239,-128.84031948764252,-128.53651113379973,-128.23665049768624,-127.94286743433754,-127.65787867524394,-127.38498737144678,-127.12796649991373,-126.8907952559516,-126.67725347661052
