x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61
-242.3872319156967,-242.22153937546767,-242.03645744133286,-241.83460593848002,-241.6187873646814,-241.39168590680674,-241.15566836139158,-240.91269212420377,-240.66429870585455,-240.4116600408409,-240.15564695129223,-239.89689835067935,-239.63588010759906,-239.37293033565044,-239.10829226513852,-238.84213746665512,-238.57458222280434,-238.30569926105392,-238.0355264175535,-237.76407329788395,-237.49132664830336,-237.21725490401826,-236.9418121988091,-236.6649419834888,-236.38658030373267,-236.10665872857913,-235.82510689455643,-235.54185462918974,-235.25683363319808,-234.969978725719,-234.68122868551887,-234.39052674849438,-234.09782084411648,-233.80306366868575,-233.5062127010993,-233.20723026835276,-232.90608376472352,-232.6027461223241,-232.29719662412214,-231.98942214791356,-231.6794189369266,-231.36719501552375,-231.05277341109854,-230.7361964081166,-230.41753115089216,-230.09687703904103,-229.77437555095997,-229.4502234385438,-229.12469073799036,-228.79814580925995,-228.471090625322,-228.14421047811953,-227.81844233680334,-227.49506384370602,-227.17579860598937,-226.86292199019636,-226.5593363864167,-226.26857105648594,-225.99465798716255,-225.7418507273713,-225.51419152265953
-210.94348922044145,-210.7777966802124,-210.5927147460776,-210.39086324322477,-210.17504466942617,-209.94794321155152,-209.71192566613632,-209.46894942894855,-209.22055601059932,-208.96791734558568,-208.71190425603697,-208.4531556554241,-208.19213741234384,-207.9291876403952,-207.66454956988323,-207.39839477139984,-207.1308395275491,-206.86195656579864,-206.59178372229826,-206.3203306026287,-206.0475839530481,-205.77351220876304,-205.49806950355384,-205.22119928823355,-204.94283760847745,-204.66291603332388,-204.38136419930123,-204.09811193393438,-203.81309093794286,-203.52623603046376,-203.23748599026362,-202.94678405323913,-202.6540781488612,-202.3593209734305,-202.06247000584403,-201.76348757309754,-201.46234106946824,-201.15900342706888,-200.85345392886688,-200.54567945265833,-200.23567624167134,-199.92345232026855,-199.60903071584332,-199.29245371286137,-198.9737884556369,-198.6531343437858,-198.3306328557047,-198.00648074328853,-197.68094804273508,-197.35440311400467,-197.02734793006675,-196.7004677828643,-196.37469964154812,-196.05132114845077,-195.73205591073412,-195.41917929494113,-195.11559369116148,-194.82482836123071,-194.55091529190733,-194.2981080321161,-194.0704488274043
-209.76513901348955,-209.5994464732605,-209.4143645391257,-209.2125130362728,-208.9966944624742,-208.76959300459959,-208.53357545918442,-208.29059922199662,-208.0422058036474,-207.7895671386337,-207.53355404908507,-207.2748054484722,-207.0137872053919,-206.75083743344334,-206.48619936293136,-206.22004456444796,-205.9524893205972,-205.68360635884673,-205.41343351534633,-205.14198039567677,-204.8692337460962,-204.5951620018111,-204.3197192966019,-204.04284908128167,-203.7644874015255,-203.48456582637195,-203.20301399234927,-202.91976172698253,-202.6347407309909,-202.3478858235118,-202.0591357833117,-201.7684338462872,-201.4757279419093,-201.18097076647857,-200.88411979889213,-200.5851373661456,-200.28399086251636,-199.98065322011692,-199.67510372191495,-199.3673292457064,-199.05732603471938,-198.7451021133166,-198.43068050889138,-198.11410350590944,-197.79543824868495,-197.47478413683393,-197.1522826487528,-196.8281305363366,-196.50259783578323,-196.1760529070528,-195.84899772311482,-195.52211757591238,-195.1963494345962,-194.87297094149886,-194.55370570378219,-194.24082908798925,-193.93724348420955,-193.64647815427878,-193.37256508495537,-193.11975782516413,-192.89209862045237
-209.07584832970574,-208.91015578947668,-208.7250738553418,-208.52322235248894,-208.3074037786904,-208.0803023208159,-207.8442847754005,-207.60130853821275,-207.3529151198635,-207.1002764548499,-206.84426336530117,-206.5855147646883,-206.324496521608,-206.06154674965944,-205.79690867914744,-205.53075388066415,-205.2631986368133,-204.99431567506284,-204.72414283156243,-204.45268971189287,-204.17994306231233,-203.9058713180273,-203.630428612818,-203.3535583974978,-203.0751967177417,-202.79527514258805,-202.51372330856537,-202.23047104319866,-201.94545004720706,-201.65859513972794,-201.36984509952782,-201.07914316250333,-200.7864372581255,-200.49168008269476,-200.1948291151082,-199.89584668236176,-199.5947001787325,-199.29136253633308,-198.98581303813114,-198.67803856192256,-198.36803535093551,-198.0558114295327,-197.7413898251075,-197.42481282212555,-197.10614756490105,-196.78549345304998,-196.46299196496895,-196.1388398525527,-195.81330715199937,-195.48676222326893,-195.159707039331,-194.83282689212848,-194.50705875081232,-194.183680257715,-193.86441501999832,-193.55153840420533,-193.24795280042568,-192.9571874704949,-192.68327440117156,-192.43046714138026,-192.20280793666848
-208.5867888065377,-208.42109626630858,-208.2360143321738,-208.03416282932096,-207.81834425552242,-207.5912427976477,-207.35522525223251,-207.1122490150447,-206.86385559669552,-206.61121693168184,-206.35520384213314,-206.09645524152023,-205.83543699844,-205.57248722649135,-205.30784915597937,-205.04169435749603,-204.77413911364525,-204.50525615189486,-204.23508330839445,-203.96363018872484,-203.69088353914432,-203.41681179485923,-203.14136908965006,-202.86449887432974,-202.58613719457364,-202.30621561942013,-202.02466378539737,-201.7414115200306,-201.456390524039,-201.16953561655987,-200.88078557635976,-200.59008363933532,-200.29737773495742,-200.0026205595267,-199.7057695919403,-199.4067871591937,-199.10564065556454,-198.80230301316504,-198.49675351496305,-198.18897903875464,-197.8789758277675,-197.56675190636471,-197.25233030193957,-196.93575329895756,-196.61708804173304,-196.29643392988197,-195.97393244180086,-195.6497803293847,-195.3242476288313,-194.9977027001009,-194.67064751616294,-194.34376736896047,-194.01799922764428,-193.69462073454704,-193.37535549683028,-193.06247888103732,-192.75889327725764,-192.46812794732693,-192.1942148780035,-191.94140761821222,-191.71374841350044
-208.20744234849693,-208.04175222907455,-207.8566702949395,-207.65481879208684,-207.4390002182883,-207.21189876041348,-206.97588121499848,-206.73290497781053,-206.48451155946134,-206.23187289444766,-205.97585980489896,-205.7171112042861,-205.45609296120588,-205.19314318925728,-204.9285051187452,-204.6623503202619,-204.39479507641119,-204.12591211466076,-203.85573927116027,-203.58428615149074,-203.31153950191012,-203.03746775762502,-202.7620250524159,-202.4851548370956,-202.20679315733952,-201.9268715821859,-201.64531974816322,-201.36206748279645,-201.0770464868049,-200.79019157932578,-200.50144153912566,-200.21073960210117,-199.9180336977233,-199.6232765222925,-199.32642555470608,-199.02744312195952,-198.72629661833037,-198.4229589759309,-198.11740947772887,-197.80963500152038,-197.49963179053333,-197.18740786913062,-196.87298626470536,-196.5564092617235,-196.23774400449895,-195.91708989264782,-195.5945884045667,-195.2704362921506,-194.94490359159713,-194.61835866286674,-194.29130347892885,-193.96442333172632,-193.63865519041016,-193.31527669731284,-192.99601145959616,-192.68313484380315,-192.37954924002347,-192.0887839100928,-191.81487084076932,-191.56206358097813,-191.3344043762664
-207.86247404921812,-207.6998733481652,-207.51799213023176,-207.31935874449695,-207.10683814653584,-206.8830917358485,-206.65038990168628,-206.41041897789617,-206.1646673275911,-205.91429809855907,-205.66018459103603,-205.4029762989258,-205.14315569041102,-204.88119192607988,-204.61749479005684,-204.35202614586254,-204.0848021145271,-203.81596546811087,-203.54579262461056,-203.27433950494114,-203.00159285536034,-202.72752111107528,-202.4520784058661,-202.17520819054587,-201.8968465107897,-201.6169249356362,-201.33537310161353,-201.05212083624673,-200.76709984025516,-200.480244932776,-200.1914948925759,-199.90079295555137,-199.60808705117353,-199.3133298757427,-199.01647890815647,-198.7174964754099,-198.41634997178056,-198.1130123293812,-197.80746283117918,-197.4996883549707,-197.18968514398364,-196.87746122258082,-196.56303961815564,-196.24646261517367,-195.92779735794923,-195.6071432460981,-195.28464175801693,-194.96048964560092,-194.63495694504738,-194.308412016317,-193.98135683237913,-193.65447668517663,-193.32870854386042,-193.00533005076306,-192.6860648130465,-192.37318819725337,-192.06960259347375,-191.77883726354295,-191.50492419421957,-191.25211693442836,-191.02445772971663
-207.46987699153289,-207.31989025377365,-207.15187188096345,-206.96751510734265,-206.76522854968306,-206.5454708146246,-206.31664793721959,-206.08063030016996,-205.83889942870576,-205.5925888070005,-205.34254667729516,-205.08940043930411,-204.83363477934736,-204.57569782215376,-204.31577211038703,-204.05390913708845,-203.7902374426171,-203.52484842044615,-203.25780146523726,-202.98913028469707,-202.71884778121213,-202.44694997430872,-202.17341929959957,-201.89822750503413,-201.6213382618753,-201.3427095227353,-201.06229560383176,-200.78004894972972,-200.49592155222024,-200.20986604391416,-199.92183976720636,-199.63179401432313,-199.33968821046582,-199.0454840870434,-198.74914582692853,-198.4506405716475,-198.14993908453562,-197.8470166362495,-197.54185417909176,-197.2344398814081,-196.92477110876044,-196.61285697075664,-196.29872160456725,-195.98240843851383,-195.6639857729731,-195.34355414148143,-195.02125610110778,-194.6972894029138,-194.3719249901106,-194.04553203634413,-193.71861336306105,-193.39185619051463,-193.06619665171482,-192.74291297022256,-192.42372931699208,-192.1109216381536,-191.80739297053998,-191.51667335130148,-191.24279572534772,-190.99001480945262,-190.76237420985973
-207.00709368765766,-206.85809127721672,-206.69118952065145,-206.50864968460812,-206.3129220066959,-206.10637057209965,-205.89108209713334,-205.66876627365144,-205.4407326514028,-205.20791941775627,-204.9709509530809,-204.73020815170437,-204.48579410834054,-204.23794462423018,-203.98853437599817,-203.73131360255215,-203.47167545724665,-203.20987471292378,-202.9460573449428,-202.680319659741,-202.41272129634015,-202.14329452965544,-201.87205068049195,-201.59898557462478,-201.32408390355303,-201.04732260032094,-200.76867335916094,-200.48810445156678,-200.2055700983058,-199.92105386729048,-199.63452212457315,-199.34593598194823,-199.0552566287086,-198.76244613181518,-198.46746828886845,-198.17028955920847,-197.87088009873742,-197.56921492520092,-197.2652752516509,-196.95905005254457,-196.65053796948524,-196.33974971713778,-196.02671120853051,-195.71146768123705,-195.3940891792742,-195.07467785028513,-194.7533776907552,-194.43038767154897,-194.10597967865567,-193.7805234768725,-193.45452191605827,-193.12866054393533,-192.8038758536994,-192.48144414365103,-192.16308664858082,-191.8510751773344,-191.54830728700443,-191.25830620425427,-190.9850970158202,-190.73292616614728,-190.50582954273236
-206.56099450772427,-206.4167075164394,-206.25438393875822,-206.07615508165253,-205.88440550974514,-205.68149539269396,-205.46955939438186,-205.25039610641264,-205.02543582148908,-204.79576097655718,-204.56215122356616,-204.3251385127745,-204.08506398053945,-203.84212119252277,-203.59642473748667,-203.34811384795066,-203.0971999391761,-202.8436774292419,-202.5875567192661,-202.3288713885464,-202.06745489210988,-201.8032663842711,-201.5364776944547,-201.26723165089624,-200.99569181504734,-200.72193089574534,-200.44599436298446,-200.1679061454647,-199.88767396255983,-199.60529362874087,-199.3207526698896,-199.03403261409025,-198.74511131570077,-198.45396468710027,-198.16056819320218,-197.8648982172384,-197.5669333847423,-197.26665593820093,-196.9640532548426,-196.65911960060018,-196.35185822389084,-196.04228392209023,-195.73042626642058,-195.416333748612,-195.10007921530163,-194.7817670892823,-194.46154306177405,-194.13960722604534,-193.81623209035374,-193.49178764012348,-193.16677660466038,-192.84188403042015,-192.51804566911514,-192.19653960964115,-191.87908004124046,-191.56793411162167,-191.2659933534499,-190.97677352648003,-190.70429119872583,-190.45278395319608,-190.2262794721162
